"","text"
"1","@lucasm4rtins @HilaryDuff @HauntingOfTate I know! I had a feeling she brought IT. But why isn’t she promoting? Lol"
"2","@HauntingOfTate @ETAFilms @sabanfilms @VoltagePictures @HilaryDuff @JonathanBennett @LydiaHearst Which theater I can go see it in LA ?"
"3","@HauntingOfTate @AMCTheatres Only there ?"
"4","For those watching ‘The Haunting Of Sharon Tate’ In Theaters or On Demand, tweet us your thoughts using the Hashtag #TheHauntingOfSharonTate"
"5","@HauntingOfTate why am I crying at the end. Such an incredible film. So sad to know all those young lives were taken at such a young age."
"6","@LydiaHearst you did so good in the @HauntingOfTate movie!!! I loved it"
"7","Att U-Verse On Demand, Comcast On Demand, Red Box On Demand, &amp; more! Do a search on your TV provider ans listings should come up! #TheHauntingOfSharonTate"
"8","So I’m writing a research paper on Charles Manson and decided watching #thehauntingofsharontate  with @HilaryDuff would be a good idea, because hello, Hilary Duff. But it was more creepy than it was educational and now I have no desire to research this man further today <U+0001F61E>"
"9","Ya’ll I’m so excited for #TheHauntingOfSharonTate!!!"
"10","you can now Rent ‘The Haunting Of Sharon Tate’ on @redbox On Demand! #TheHauntingOfSharonTate"
"11","It’s available on Demand. Check with your provider or do a search on your TV!"
"12","@FakeShemp We invite you to give it a chance! The film has a unique twist! I’ll leave you with this: ""Is all that we see or seem but a dream within a dream?"" - Edgar Allan Poe. #TheHauntingOfSharonTate"
"13","@HauntingOfTate OMG I can't wait I'm going to see it with my friends<U+0001F60A><U+263A><U+0001F495>"
"14","@HauntingOfTate I thought the film was great. I’m finishing my second viewing. I can see both the vision and the effort that went into making this. It’s a shame that it’s being reviewed so harshly by critics. I don’t see it as exploitive at all. It’s art. Love to the Tate family."
"15","#TheHauntingOfSharonTate is so Beautiful yet Scary at the same time! Watch it with an opened mind. The film takes place in a alternate universe. It’s told through Sharon Tate’s eyes, seeing life through “rose colored glasses” as she was quoted as saying. I cried at the end!"
"16","#TheHauntingOfSharonTate is a good movie @HilaryDuff did a great job in her 1st horror flick! Felt good seeing her back in a movie where she's the main character <U+0001F60A><U+0001F499><U+0001F499> #Life #GottaLoveIt"
"17","I love how this Film plays tributes to the victims in such a beautiful haunting way. (No spoilers) but you hmgotta watch it to know what I mean! 5/5 stars for us! #TheHauntingOfSharonTate
 <U+2B50><U+FE0F> <U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F>"
"18","OH MY GOD!! @HilaryDuff playing the infamous #SharonTate is going to be amazing!!! <U+0001F632> #TheHauntingOfSharonTate"
"19","So just got done watching @HauntingOfTate and ... THAT ENDING!!!?!?!?!!????!?!??!!!! 
I literally watched the ending like 20 times. Wow! @HilaryDuff"
"20","The Haunting of Sharon Tate, starring @HilaryDuff is out today on demand!! 
#TheHauntingOfSharonTate"
"21","#TheHauntingOfSharonTate is great. That’s it. That’s the tweet. Go watch it."
"22","Just zoom everyone knows The Haunting of Sharon Tate starring @hilaryduff @LydiaHearst and @JonathanBennett will be available to rent (possibly own?) On @VuduFans at 1am central time! #thehauntingofsharontate"
"23","No offense. But I'm pretty sure you missed the point of the film..."
"24","@andthevictoris_ @Xtian_Leon @HauntingOfTate @LydiaHearst In the US its available to rent on Vudu, Redbox on demand, and iTunes"
"25","Guys, which one should I play while I wait for The Haunting of Sharon Tate to drop on @VuduFans tonight? 
#TheHauntingOfSharonTate @HauntingOfTate"
"26","@sufmax @HilaryNews @HauntingOfTate I'm not able to post a rating on rotten tomatoes yet I'll try later"
"27","@HauntingOfTate @LydiaHearst I knowwwww. Dude, I'm so shook by this and I literally don't feel like I deserve this but maybe that me being humble. Idk but this is so astounding to me<U+0001F631><U+0001F495><U+0001F62D>"
"28","I really hope they show that new @HilaryDuff movie around my area #TheHauntingOfSharonTate #Life #GottaLoveIt haven't seen her on the big screen since 2006 #MaterialGirls <U+0001F601>"
"29","Ok, so I think I'll drive 50 miles to Federal Way to see the new film #TheHauntingofSharonTate which is the indie film starring Hilary Duff. At least that city is known for having really good food so I guess I can make it a day?"
"30","@HauntingOfTate @HilaryDuff @JonathanBennett @LydiaHearst Distraught that @AMCTheatres isn't playing this anywhere in Massachusetts <U+0001F62D>"
