Movies,Positive ,CS,Negative,CS,Neutral,CS,Mixed,CS,num tweets
Dumbo,26.95%,0.275791208,21.23%,0.21679056,49.00%,0.451524864,2.82%,0.055893369,2200
Shazam,43.37%,0.419578243,9.91%,0.114352698,43.54%,0.408847827,3.19%,0.057221232,20702
Pet Semetary,26.63%,0.272510213,19.56%,0.204773176,48.94%,0.448809025,4.88%,0.073907585,3523
The Haunting of Sharon Tate,21.48%,0.239147268,17.04%,0.159054159,57.78%,0.549014143,3.70%,0.052784428,135
The Best of Enemies,32.41%,0.333554015,7.12%,0.084198205,59.26%,0.549265026,1.20%,0.032982753,3903
Hellboy,27.84%,0.286286878,19.77%,0.19776492,46.36%,0.431564558,6.03%,0.084383645,5306
Missing Link,25.77%,0.246444485,35.05%,0.322283301,30.58%,0.309564341,8.59%,0.121707875,582
The Curse of La Llorona,18.52%,0.202691995,25.03%,0.263102554,53.39%,0.468227996,3.07%,0.065977455,1890
Breakthrough,41.69%,0.408675826,6.61%,0.082674708,51.06%,0.480071981,0.64%,0.028577485,1559
Little Woods,29.78%,0.298520193,18.67%,0.202874959,49.33%,0.449835383,2.22%,0.04876947,225
