"","text"
"1","@JoshMShep @DeVonFranklin @SeeBreakthrough Thanks brother! @DeVonFranklin and the entire cast of #BreakthroughMovie put all their heart and soul into it. We know lives are going to be greatly impacted!"
"2","If you didn't catch this moving performance featuring @ChrissyMetz, @CarrieUnderwood, @Lauren_Alaina, @MaddieandTae and @MickeyGuyton at the #ACMawards, we've got you covered!

Watch the #BreakthroughMovie inspired performance on @CBS and @CBSAllAccess. In theaters now!"
"3","I just saw @SeeBreakthrough movie, and it is AMAZING! @StephenCurry30 @DeVonFranklin @ChrissyMetz and everyone else involved you guys are awesome! Thank you for sharing this beautiful story. It’s so powerful!!<U+2764><U+FE0F> if you haven’t seen it I highly recommend it. #BreakthroughMovie"
"4","5 reasons why I’m going to see #BreakthroughMovie tonight. 
1. I want to be inspired! 
2. I want to support movies w/ a message of faith and hope. 
3. The producer @DeVonFranklin is a friend and great man. 
4. My wife wants to see @SeeBreakthrough w/ me. 
5. Heard it was amazing!"
"5","@RollinsNickie @SeeBreakthrough I concur. It's very well done. I love that the power of God is being magnified in this film. I love that medical records support this miracle, and I love that God's ability to do the unexplainable is highlighted. #BreakthroughMovie"
"6","Make it to Burbank tonight! #BreakthroughMovie  It’s an event.@DeVonFranklin is hosting and YOU are invited!"
"7","@Diane_Warren you are amazing!  I can’t get #ImStandingWithYou  out of my head. And I don’t want to!
#BreakthroughMovie"
"8","Definitely a movie you should go see you will love it!!"
"9","Man I thought y'all was going to show Passion of the Christ all weekend"
"10","#BreakthroughMovie has grossed an estimated $3.4 million since its opening Wednesday, which is running very close to 2016’s #MiraclefromHeaven ($3.55M). If this keeps up, it should open around $18M-$20M for the weekend."
"11","#BreakthroughMovie is the inspirational true story that audiences can’t stop talking about. Get your tickets to see it in theaters now."
"12","Based on the miraculous true story that you have to see to believe. Take your family to see #BreakthroughMovie in theaters NOW."
"13","#BreakthroughMovie is now playing in theaters. Get your tickets to experience the impossible true story TODAY."
"14","Experience the inspirational true story of faith, love and community. Get your #BreakthroughMovie tickets to see it in theaters now."
"15","retweeting again because i can not stress enough how amazing thos movie is!!! God is so powerful and so amazing!! take some tissues and go see it!!"
"16","I’m usually the hardest person to please when it comes to movies, but #BreakthroughMovie had my full attention from the minute it started. Easily the best faith-based film in the last 10 years. CHECK THIS MOVIE OUT Y’ALL <U+0001F64F><U+0001F3FB><U+0001F64F><U+0001F3FB> @SeeBreakthrough 

(P.S. @ChrissyMetz STEALS THE SHOW)"
"17","#BreakthroughMovie literally made us all (in our group) cry.. this movie will show how you should hold strong to your faith, believe in everything God has planned. He is the best of planners. <U+0001F495>"
"18","Just saw #BreakthroughMovie ! I wish I would have packed tissues. I was left in tears. God is amazing and if you just stay strong and believe in him and his will then anything can happen."
"19","#BreakthroughMovie. In a world of hate and darkness Breakthrough is a beacon of hope and love. Take Kleenex."
"20","Just got back from watching #BreakthroughMovie. Wow, what a powerful, powerful story of faith and trusting in God. I highly recommend giving it a watch. Based on a true story too"
"21","@DeVonFranklin @ChrissyMetz Had the pleasure of seeing #BreakthroughMovie yesterday. What a wonderful movie! Thank You, Devon, for bringing another inspirational story to the screen. I'm a big fan of Chrissy on @ThisIsUsFanCrew and as expected Chrissy, you were amazing! #LoveWins"
"22","Just went and saw #BreakthroughMovie in theaters and I have to say that @ChrissyMetz was absolutely amazing!"
"23","@DeVonFranklin my brother...to say this was excellent work does not seem to be enough to describe #BreakthroughMovie...powerful, inspiring....great work!"
"24","Yelp, time to go watch my family on the big screen. #BreakthroughMovie"
"25","@RoySFord This video is great Roy!!! Please tell Mom I said hello!! Thank YOU for going to see #BreakthroughMovie"
"26","Which wide release do you plan to see this #Easter w/end? #Breakthrough #BreakthroughMovie #LaLlorona<U+2060> #CurseofLaLlorona #TheConjuring #TheConjuringUniverse #Penguins #DisneynaturePenguins #Disney #TeenSpirit #teenspiritmovie #ElleFanning #MaxMinghella #film #films #poll"
"27","Which film will top the #Easter weekend #boxoffice? #Breakthrough<U+2060> #BreakthroughMovie #LaLlorona #CurseofLaLlorona #TheConjuring #TheConjuringUniverse #Shazam<U+2060> #ZacharyLevi #MarkStrong #DjimonHounsou #AsherAngel #DavidFSandberg #DCEU #WorldsofDC #franchise #film #films #poll"
"28","<U+27A1><U+FE0F><U+27A1><U+FE0F><U+27A1><U+FE0F> support these women directors &amp; their impressive films!
#intheatersnow #womendirect #womeninfilm #WomenSupportingWomen #bumsonseats"
"29","#BreakthroughMovie is a must-see miraculous true story. Take your family to see it in theaters this Easter."
"30","#BreakthroughMovie just tore into my soul. Thank you for such a blessed Holy Friday morning. :)"
"31","I went to see ##BreakthroughMovie with my church. Such a faith filled blessing. Honestly, go see it and watch the tears fall. God is so good and faithful. He STILL performs miracles"
"32","The power of prayer changes everything. See #BreakthroughMovie now playing in theatres."
"33","If you haven’t seen @breakthrough, make it a priority to see it! It is powerful! #Breakthroughmovie"
"34","Take your family to see the inspirational true story of #BreakthroughMovie. Now playing in theatres."
"35","I went to see #Breakthrough on April 19, 2019 and it was remarkable and I loved the film and I enjoyed the film and #ChrissyMetz was wonderful and #StephenCurry was phenomenal as an #ExecutiveProducer. #BreakthroughMovie #JoshLucas #TopherGrace #MarcelRuiz #DennisHaysbert <U+271D> <U+0001F64F>"
"36","If you didn't catch this moving performance featuring @ChrissyMetz, @CarrieuUnderwood, @Lauren_Alaina, @MaddieandTae and @MickeyGuyton at the #ACMawards, we've got you covered!

Watch the #BreakthroughMovie inspired performance on @CBS and @CBSAllAccess. In theaters now!"
"37","Breakthrough grossed an estimated $3.81M on Friday.  3-Day total stands at $7.32M.

#BreakthroughMovie  #BoxOffice  @DisneyStudios  @20thcenturyfox  @SeeBreakthrough"
"38","Estimated Daily #BoxOffice Top 8 for Friday, April 19, 2019

1. The Curse of #LaLlorona - $11.80M
2. #Shazam - $6.16M
3. #BreakthroughMovie - $3.81M
4. #CaptainMarvel - $3.15M
5. #LittleMovie - $2.89M
6. #Dumbo - $2.75M
7. #MissingLink - $1.79M
8. #PetSematary - $1.76M"
"39","Breakthrough grossed $1.62M on Thursday.  2-Day total stands at $3.51M.

#BreakthroughMovie  #BoxOffice  @DisneyStudios  @20thcenturyfox  @SeeBreakthrough"
"40","BREAKTHROUGH
$1.61M Thursday 
$3.50M Total (North America) 
#Breakthrough #BreakthroughMovie #BoxOffice"
