"","text"
"1","@TheMacAnon @DuriavigRobert @aleeyun_nvaazun @TheAmericanLef1 @_Love_Anon @ThomasFines @Devine_freedom @FederalistNo78 @LavenderLives @chalmersgilbert @jbwrd88 @Ascension_Guide @_twiceborn_ @Lonny2Sue @ginaC777 @iAmTheWatchman3 @deplorable_tx4 @piprincess @Nasty_1_ @thelionlogos @terryatthebeach @SeanANon4 @AwareFrequency @CylantJustice @ZeeInTheMoment @TexasDeplorabl4 @AnonymousEagle4 @RhondaO85587104 @truthforHim1224 @MaryMar72308946 @TWITMO_INMATE @paulacblades001 @yippycom @GranvilleReal @jay2kQ17 @1776_eye @violatedfreedo1 @joshua_nimmons @Delmarva123 @celtgunn @Nobodyspecial3c @Cosmos_Consult @mommydean74 @TammyRedmond @Me2189251618 @melody_mcgowan @GavinNewsom @KamalaHarris @SpeakerPelosi The Titans &amp; the New Gods. Same war, different area. Aztecs have same war.. Seems everyone does.. (They were called birds &amp; fish- gods in early Sumer... Subterraneans vs Sky gods). Vanir supplanted... See LaLlorona for Mex story.."
"2","@michaelchaves @nytimes @lalloronamovie @wbpictures @newlinecinema I think the conjuring franchise is getting diluted by bad movies like the nun and now lallorona <U+0001F610> need to take decent time and deliver good movies that critics and audience love like the first two conjuring movies <U+0001F937><U+0001F3FB><U+200D><U+2642><U+FE0F> else the franchise will die."
"3","I needddddd to see!!"
"4","If this movie is whitewashed then im sueing and getting my money back PERIODT."
"5","Have you heard her cries? The Curse of #LaLlorona now playing in theaters."
"6","She wants your children. The Curse of #LaLlorona is NOW PLAYING in theatres. Get tickets!"
"7","Man I thought y'all was going to show Passion of the Christ all weekend"
"8","Thursday Night Previews!                             #LaLlorona  made an estimated $2.75M on Thursday. This is ahead of #Annabelle ($2.1M) and #PetSematary ($2.3M), but not as high as #TheNun ($5.3M) last #September. It looks to gross $20M-$25M for the weekend."
"9","Anyone here going to see #LaLlorona hmm? I am"
"10","Need to go see this"
"11","Need to go watch this"
"12","Watched #CurseOfLaLlorona today and enjoyed it. #LaLlorona looked scary and the story was good. <U+0001F642><U+0001F631><U+0001F47B><U+0001F466><U+0001F467> #annabelle #theconjuringuniverse #weepingwoman #mexicanfolklore #mishijos #lágrimas #curse #horror #drown #tears"
"13","To some, she's a myth. The Curse of #LaLlorona now playing in theaters."
"14","<U+0001F4FD>The Curse of #LaLlorona <U+2705>"
"15","The more and more I hear about #LaLlorona the more I’m glad I’m skipping it. Sounds like a bleh movie all around."
"16","Which wide release do you plan to see this #Easter w/end? #Breakthrough #BreakthroughMovie #LaLlorona<U+2060> #CurseofLaLlorona #TheConjuring #TheConjuringUniverse #Penguins #DisneynaturePenguins #Disney #TeenSpirit #teenspiritmovie #ElleFanning #MaxMinghella #film #films #poll"
"17","Which film will top the #Easter weekend #boxoffice? #Breakthrough<U+2060> #BreakthroughMovie #LaLlorona #CurseofLaLlorona #TheConjuring #TheConjuringUniverse #Shazam<U+2060> #ZacharyLevi #MarkStrong #DjimonHounsou #AsherAngel #DavidFSandberg #DCEU #WorldsofDC #franchise #film #films #poll"
"18","Coming Up @onwithmario: @JoeDonRooney of @Rascalflatts talks new single #BackToLife &amp; how to party with them &amp; the women of #TheBachelor. Mario looks back at a life-changing decision he made 11 yrs this week.  The real legend behind the movie The Curse of #LaLlorona"
"19","I REEEEAAAAALLLLYYYYY don’t want to write up a review for #LaLlorona 

It was just so boring and paint-by-numbers. In fact, there you go. That’s my review. It’s like a banana: Bland, uninteresting, and unwilling to do that really cool trick in the bedroom. 

4/10."
"20","Waiting to get paid so I can go see #PetSematary and The Curse of #LaLlorona"
"21","They always underestimate the showing power of minority audiences. They did the same with Little last week"
"22","Most disappointing about #LaLlorona other than its by the numbers nature is its inability to capture the essence of the myths of the Hispanic culture. The film feels like a watered down, Americanized take, never fully diving into that world despite a rich premise. 3/5 at best"
"23","Was hoping to get out a full review of #LaLlorona, but with moving tomorrow, no time. It’s well shot, but unbelievably formulaic, with a jump scare every other scene to where you become numb to the terror. The sort of film that makes me think this sub-genre is on its last legs"
"24","God, if I'd realized #LaLlorona was set in the Conjuring fiction, I wouldn't have wasted the money <U+0001F62D> Beyond mediocre, bland, and as fright-inducing as a loaf of stale white bread"
"25","In a life spent investigating paranormal activity, it doesn't seem that odd that Lorraine Warren died the weekend a Conjuring spinoff is released.  #TheConjuring #LaLlorona #horror"
"26","I'm not going to use the passing of Lorraine to promote my work(s), I will though, say go and watch #LaLlorona and #AnnabelleComesHome the Conjuring universe was inspired by her and Ed's work in the field and would be great to see their legacy live on in the public eye with them."
"27","All of you acting childish 
La Llorona is gonna come and get you 
#lallorona"
"28","The Curse of #LaLlorona is dreadfully dull, jumping from one cheap jump scare to the next like a sort of ""worst hits"" compilation of the Conjuring Universe's weakest points. Silver lining? It's well directed, which bodes well for the director's next movie: The Conjuring 3."
"29","Who’s going to see #LaLlorona with me?"
"30","These stories all so great and all of them true. 
#LaLlorona"
"31","Thank you to everyone who was a part of this article. Your stories are incredible and I'm honored that I got to share them #LaLlorona"
"32","In startlingly bizarre timing, we recorded our second Conjuringverse episode on both the release date of the newest universe film, #LaLlorona, and just as the news about #LorraineWarren's death broke. We offer our condolences to her loved ones."
"33","Thank you @lalloronamovie love it<U+0001F60D>"
"34","Sooo Lorraine Warren (woman who inspired The Conjuring) dies the day “The Curse of La Llorona” comes out <U+0001F440> which is part of the same conjuring universe .... that’s weird and CREEEPYYY <U+0001F633><U+0001F633><U+0001F633> #LaLlorona"
"35","POLL: What did you think of THE CURSE OF LA LLORONA?

@lalloronamovie #TheConjuring #Annabelle #LaLlorona"
"36","This bitch better be scary, my moms been hyping her up my whole life"
"37","I remember hearing this from @stevecovino?! They made this into a movie?! @CovinoandRich #TheShow"
"38","I need to see this"
"39","I want to see the Mexican version of #LaLlorona  ,  the actual one taking place deep in Mexico yooo..    

the one in theatres was for all these wack ass white people.

I gave it a 3 out of 10 .."
"40","Analyzing #LaLlorona is kind of like looking for the nutritional value in cotton candy.   At just 93 minutes, it efficiently does the trick. More jump scares per minute than any movie I can remember."
"41","@thehorrorchick @PixelElixir @lalloronamovie Oh, this is good news! 

It opens in the UK on May 3rd and I'm almost certain I'll be joining you in that minority. 

I know what I like and damn, I like the look of this one. 

Not many trailers freak me out. 

Mission accomplished for #LaLlorona"
"42","Watching this tonight with Danny Boo"
"43","Sadly fitting that the #T4S crew will be at theatre for opening night of #LaLlorona #TheCurseOfLaLlorona which claims to be part of the #ConjuringUniverse on the day #LorraineWarren passed away. It will be a great way to honor her memory!"
"44","I want to watch it but I’m scared <U+0001F602>"
"45","Due to Easter Sunday @movienationpod will be recorded Saturday night at around 7pm ET. We'll be talking #HotelMumbai and #LaLlorona as well as in honor of the impending #Endgame our top 10 MCU films."
"46","Saw #LaLlorona last night, it made me jump throughout the whole movie <U+0001F631>"
"47","Please tell me why they chose someone with Italian descent for the main fkn character?! Like this isn’t a tale from MEXICO<U+0001F643>"
"48","#LaLlorona 1000 times better than #TheNun and PLZ plz dnt believe critics #TheCurseofTheWeepingWoman #TheCurseOfLaLlorona"
"49",".@BoxOfficeMojo predicts #LaLlorona drowning the competition at the domestic box office this weekend. Do you think it can exceed the predicted $17 million gross?"
"50","At @caribbeancinepr in #LosColobos @PuertoRicoPUR #PuertoRico <U+0001F1F5><U+0001F1F7>  Watching the  #Movie <U+0001F3AC>  @lalloronamovie #Lallorona starring @lindacardellini  by @wbpictures"
"51","Hear her cries. The Curse of #LaLlorona now playing in theaters."
"52","Okay but someone should see this with me <U+0001F440>"
"53","Another CONJURING UNIVERSE flop, unfortunately. Don't even bother with THE CURSE OF LA LLORONA. #LaLlorona"
"54","La Llorona isn’t even fucking scary, I’ve screamed watching courage the cowardly dog but this movie,WACK 3/10 don’t recommend<U+0001F644> #LaLlorona #wack #isntevenscary"
"55","Y’all La Llorona was fucking intense holy hell. #LaLlorona def see it in IMAX."
"56","Yeah, after The Nun, I'm just gonna take my chances and skip the hell out of this.

Sorry, Mom, but I have a feeling you wouldn't be that impressed, either.

Why is it that Wan is saving AND pulling back horror movies at the same time?"
"57","I'm Down for that Movie 
Gonna see it with you Compas 
<U+0001F49B><U+0001F49B>"
"58","Who tryna go tho ? I need friends <U+0001F927>"
"59","They’ve white washed the fuck out of the #LaLlorona movie"
"60","I'm in the theaters right now and I'm the only one in here for a horror movie... #LaLlorona"
"61","Tommorow plans <U+0001F33B> week has been officially packed since Monday <U+0001F613>"
"62","Update AMAZING FLICK! Can confirm a little tinkle at moments.. and big laughs and super dope cultural references. Huge applause in the theater Real good flick #LaLlorona"
"63","The Curse of La Llorona <U+0001F3A5><U+0001F3A5><U+0001F52A><U+0001F52A>

#LaLlorona"
"64","The Curse of La Llorona grossed an estimated $11.80M on Friday.

#LaLlorona  #TheCurseOfLaLlorona  #BoxOffice  @wbpictures  @newlinecinema  @lalloronamovie"
"65","This movie better be scary. My nana been hyping this bitch up since i was a baby <U+0001F644><U+0001F602><U+0001F480>"
"66","Can’t wait to watch this <U+0001F62D>"
"67","Who trying to see this with me? <U+0001F440>"
"68","i’ll beat that bitch La Llorona ass  #LaLlorona"
"69","Fuck this bitch ass movie. We don’t need non-latinx’s telling our stories ever ever ever ever ever."
"70","#LaLlorona is here. HIDE YO KIDS and get your tickets now @RegalMovies ! @wbpictures"
"71","The story of La Llorona has haunted generations. What’s yours? The Curse of #LaLlorona now playing in theaters."
"72","#LaLlorona was a good <U+0001F37F> movie. I didn’t know there was some type of connection of #annabelle"
