"","text"
"1","Enter to win a$50 Fandango gift card to see #MissingLink in theaters PLUS a Missing Link prize pack including a Colored pencil set, Mini dry erase board, Puzzle, Sticker set, Drawstring backpack, and Orange socks! @ momsreview4you //www.asparkleofgenius.com/missing-link-giveaway/"
"2","@LAIKAStudios has made another wonderful adventure with Missing Link. It seems almost a miracle these films exist. Go see it."
"3","I love Laika but hate hate HATE its reputation as being the ""creepy kids movie"" studio. Every comment I see on Facebook posts about Missing Link is all ""uhhhh why is it not creepy like coraline? Not interested!"" and that makes me sad"
"4","Saw Missing Link. Visually stunning, but not great."
"5","So, this week, Hellboy, Little, and Missing Link came out to theaters. Me? I went and saw #AfterMovie 

I watched One Direction fan fiction that was revamped.  I WATCHED FAN FICTION!!!

I bring this on myself."
"6","@the_cinemabliss It is the right choice. Missing Link is delightful!"
"7","I need the Air Max Missing Link Susan's in a size 13 when people get them in hand and the price drops.

This is my vision.

Holler when you got em."
"8","Missing Link looks cute! I think I need to support my friend and see it soon."
"9","@kirkneverdied Are you going to be checking out Missing Link this weekend? I thought it was really good!!"
"10","@theBurk3nator Hope you get around to seeing Missing Link I thought it was great!! As for Hellboy I had no interest once I saw the trailers"
"11","Enter to win a$50 Fandango gift card to see #MissingLink in theaters PLUS a Missing Link prize pack including a Colored pencil set, Mini dry erase board, Puzzle, Sticker set, Drawstring backpack, and Orange socks! @momsreview4you //www.asparkleofgenius.com/missing-link-giveaway/"
"12","I actually agree with people claiming it's the audience fault for Disney ruining cinema, because it is their fault

You got a great original film like Missing Link, which likely won't make any money

But y'all will give money to fucking Dumbo"
"13","Honestly, Missing Link might be one of the most progressive/woke movies I’ve seen recently"
"14","@Kev_Dies_Twice Also we have AMC Stubs and High Life doesn’t seem to be playing at any nearby AMC. I’m just happy I saw Missing Link yesterday."
"15","Missing Link was great. Just a super pretty, incredibly fun old fashioned adventure comedy with just enough heart to hold it together."
"16","Lights come up on Missing Link and I start walking out. Two people are basically having sex in the back row. 

Sick world we live in."
"17","Another winner for @LAIKA Missing Link continues the hit of winners from Coraline, ParaNorman, The Boxtrolls, and my all-time favorite Kubo and the Two Strings. I've yet to be disappointed in #LAIKA Studios; please keep up the excellent work."
"18","Missing Link is so much fun and, as always, the animation by @LAIKAStudios is clever and gorgeous!!! Very extra silly and lovely and well-voiced. We had a great time watching it for date night, but also great for families. Go see this movie!!! #MustSee #MovieNight #MissingLink"
"19","Missing Link is an absolutely lovely film. It has beautiful animations, likeable characters, and a heartwarming message for all. I left the theater with a smile on my face. 84/100"
"20","Just got back from watching the new movie Missing Link. Story is a bit tarnished, but the visuals are spectacular. Highly recommend watching."
"21","Just saw @LAIKAStudios ‘s Missing Link. It’s a super fun film that shows once again how incredible stop motion can be. I can’t hype it enough; please go see it!"
"22","1. Coraline
2. Kubo and the Two Strings
3. ParaNorman
4. Missing Link
5. The Boxtrolls

But they’re all baseline nice"
"23","Seeing Missing Link because I’ve mindhacked myself into thinking Laika is ethical capitalism"
"24","Missing Link is fine, charming even! Closer to Boxtrolls than Coraline but it’s still good to have Laika in the world making movies that look this good."
"25","If the Missing Link crowd is anything to go by, the Dora the Explorer movie is also going sucker punch the box office."
"26","I'm going to see Missing Link on Sunday."
"27","I find Missing Link to be a good/fun movie and the Sasquash if a friendly/lovable guy. He he reminds me of Rusty!"
"28","@TheUnipiper how did I not know your pipes made an appearance in @LAIKAStudios “Missing Link”?! That’s fantastic! My sister is a 2nd Assistant Director on that film!! <U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F><U+2764><U+FE0F> to Portland!"
"29","Just got out of Missing Link sadly only 3 Families were there"
"30","@Animated_Antic I saw Missing Link today it was great the trailers I got I got The Lion King Frozen 2 secret life of pets 2 in the most anticipated movie of all time Uglydolls"
"31","Missing Link is off to a terrible start on Friday with about 1.6 million dollars with a extra 230K on Thursday nights and 1.1 Million International WHAT IS WRONG WITH YOU PEOPLE"
