Movies,Budget (Box Office Mojo),Gross (1st Week),Gross / Budget
Dumbo,170000000.00,58047489.00,0.341455818
Shazam,100000000.00,69773013.00,0.69773013
Pet Semetary,21000000.00,31121660.00,1.48198381
The Haunting of Sharon Tate,n/a,n/a,n/a
The Best of Enemies,10000000.00,6101570.00,0.610157
Hellboy,50000000.00,15796271.00,0.31592542
Missing Link,n/a,8607241.00,n/a
The Curse of La Llorana,9000000.00,33784301.00,3.753811222
Breakthrough,n/a,3506925.00,n/a
Little Woods,n/a,82166.00,n/a
,,,
,,,
