Movies,DATE,TOMATO METER,AUDIENCE SCORE,METACRITIC,AUDIENCE SCORE,IMDB,Budget (Box Office Mojo),Gross (1st Week),Gross / Budget
Little Woods,4/19/19,98%,82%,74%,n/a,5.8,n/a,82166.00,n/a
Shazam,4/8/19,91%,90%,71%,8,7.7,100000000.00,69773013.00,0.70
Missing Link,4/12/19,89%,74%,68%,n/a,7.1,n/a,8607241.00,n/a
Breakthrough,4/19/19,65%,76%,47%,7.3,5.5,n/a,3506925.00,n/a
Pet Semetary,4/8/19,59%,44%,57%,5.8,6.2,21000000.00,31121660.00,1.48
The Best of Enemies,4/8/19,54%,77%,49%,5.2,7.1,10000000.00,6101570.00,0.61
Dumbo,4/1/19,49%,60%,52%,5.4,6.8,170000000.00,58047489.00,0.34
The Curse of La Llorona,4/19/19,33%,56%,41%,6.1,5.9,9000000.00,33784301.00,3.75
Hellboy,4/12/19,15%,65%,31%,5,6.9,50000000.00,15796271.00,0.32
The Haunting of Sharon Tate,4/8/19,14%,75%,8%,6.2,3.2,n/a,n/a,n/a
