Movie_Id,Movies,Positive ,CS,Negative,CS,Neutral,CS,Mixed,CS,num tweets
A,Dumbo,26.95%,0.2757912075,21.23%,0.21679056,49.00%,0.451524864,2.82%,0.0558933693,2200
B,Shazam,43.37%,0.4195782432,9.91%,0.1143526975,43.54%,0.4088478267,3.19%,0.05722123246,20702
C,Pet Semetary,26.63%,0.2725102133,19.56%,0.2047731762,48.94%,0.4488090245,4.88%,0.07390758524,3523
D,The Haunting of Sharon Tate,21.48%,0.2391472679,17.04%,0.1590541587,57.78%,0.5490141425,3.70%,0.05278442812,135
E,The Best of Enemies,32.41%,0.3335540154,7.12%,0.08419820451,59.26%,0.5492650263,1.20%,0.03298275253,3903
F,Hellboy,27.84%,0.2862868776,19.77%,0.19776492,46.36%,0.4315645583,6.03%,0.0843836449,5306
G,Missing Link,25.77%,0.2464444849,35.05%,0.3222833014,30.58%,0.309564341,8.59%,0.1217078746,582
H,The Curse of La Llorona,18.52%,0.2026919951,25.03%,0.2631025544,53.39%,0.4682279959,3.07%,0.06597745455,1890
I,Breakthrough,41.69%,0.4086758261,6.61%,0.08267470782,51.06%,0.4800719811,0.64%,0.02857748534,1559
J,Little Woods,29.78%,0.298520193,18.67%,0.2028749594,49.33%,0.4498353826,2.22%,0.04876947002,225
,,,,,,,,,,40025
