"","text"
"1","a friendly reminder that #Shazam will be taking all them theaters in 2 days.

tnx."
"2","What if you could just say #shazam! &amp; expose the most violent business in human history?
Or how about #Unplanned?
See the film. Then join the movement to end #abortion with our partners: @40daysforlife, @ATTWNministry, @GuidingStarProj ...&amp; more."
"3","Honne's label is promoting the hell out of crying over you. The charting for the song in korea and international was so dismal for a strong 20M plus armys. No surprise there.But we can still stream, request on radio,shazam and do our best for this song. Lets do this moonchildren."
"4","If you were a Superhero what would you call yourself? #Shazam <U+26A1> in cinemas Friday"
"5","“SHAZAM! is the most fun you’ll have at the movies all year.” #SHAZAM! in theaters Thursday."
"6","@DigiRanger1994 @Galileo908 An episode of TTG that focused on them meeting Shazam and Dr. Mind. ‘Twas a pretty good episode."
"7","@Galileo908 They aired various clips of successful and failed pranks from shows in the “coming up next” bumps.

Also, I dunno of this counts, but the Shazam trailer that was supposed to air after the new TTG special ended up airing an entire hour later."
"8","@IGN Shazam, Endgame and maybe Hellboy I’m split on that, I was planning on seeing Pet Sematary but I felt like they kinda spoiled their movie from the second trailer."
"9","A Time For Us
The Irish Sopranos
#shazam <U+8A8D><U+8B58><U+3067><U+304D><U+305A>"
"10","just bought tickets to see shazam and i have never been more excited about a movie in my life i appreciate u sm @ZacharyLevi"
"11","Feeling fresh. #SHAZAM! Is now Certified Fresh on @RottenTomatoes. Don’t miss it in theaters Thursday."
"12","Is Jamie Foxx playing the bad guy in another superhero movie because I saw that he wanted to Beat Shazam, all right, come on, we’re having fun"
"13","Just say the word. #SHAZAM! in theaters Thursday."
"14","@ZacharyLevi I was at a work staff conference and a guy I work with freaked out when I said one of my old managers went to school with @ZacharyLevi lol. It all started with him nerding out about seeing Shazam, so jealous!"
"15","no i won’t i refuse to say the n word"
"16","The issue of dedicating more or less space to indie films aside, no self-respecting adult should be addressing most major studio releases at this point. Like, there shouldn't have been any ""criticisms"" of Dumbo. Not one. And literally nobody needs to write anything about Shazam!"
"17","Beautiful song for a great movie #UnplannedTheMovie"
"18","Beautiful song for a great movie #unplannedMovie #Unplanned"
"19","@xboxuk @SharonMosley5 Would have a Heart of Pure Gold that changes anything she touches to Goodness and wipes out all evil #Shazam #ShazamXbox"
"20","Shazam comes out on Thursday, someone please take me to see it on Sunday."
"21","Shazam commercial really saying “best super hero sense last month” LSKFKFKC"
"22","April:
Shazam!
Chilling Adventures of Sabrina S2.
Game of Thrones S8.
Avengers: Endgame.
The 100 S6.

April is going to kill us."
"23","@ShazamMovie Whoops that's Kazam for Shaq's movie, still though I know Captain Marvel says Shazam a lot but, why make two movies seemingly for the same character just different movie titles and genders?"
"24","i second this as a preview showing i watched of it. an amazing piece of work!"
"25","@Cazedmunds947 Stamina of Atlas the Invulnerability!!  #Shazam #CazShazamGiveaway #Mellow947 #AllHit947"
"26","To fanboys who blindly disagree, go watch the movie first before bringing your arguments to me here, thank you."
"27","I entered the hall with low expectations. 

I apologise. 

#Shazam was pretty good."
"28","@maxspears837 @IGN Seen Shazam and its mediocre at best"
"29","@W_Mellannie @Avengers @Marvel @MarvelStudios @EddyNdungu Shazam ...hell boy??? I'll watch them 60 times before I decide to watch a purple gloved guy getting destroyed by the ant man up his bottom."
"30","im literally so excited for shazam let’s fucking go dcu"
"31","I want to understand so bad"
"32","Random thought. Since they made @ShazamMovie do you think they will sue @Shazam ???"
"33","The character now known as Shazam was known for over 50 years as Captain Marvel. It's really confusing to old comics nerds like me for Shazam (DC) and Captain Marvel (Marvel) to hit at roughly the same time."
"34","This blows my lil mind!!! <U+0001F92F><U+0001F92F><U+0001F92F>"
"35","I fucking cried!!!

#Shazam is the best superhero movie in all sense of the word. Beautiful.

Just fucking amazing. The OG #CaptainMarvel"
"36","Zach is scrawny and wore a muscle suit. LOL"
"37","Just watched #Shazam.

Thank you @DCFUnited. What a magical journey. I became a kid again, believing in the power of magic, superheroes and family.

Bravo @ZacharyLevi and Co.

The best DC film to date and definitely deserving of being one of the best of its genre."
"38","I am so glad even the Marvel geeks think #Shazam rocks.

#Shazam beats #CaptainMarvel anytime. He's the Original Captain Marvel anyways.

The only superhero movie with <U+2764><U+FE0F>"
"39","The best superhero movie I've seen for the longest time.

Came out of the cinema feeling like an excited 6 year old. The magic is real...."
"40","I cant WAIT to see SHAZAM"
"41","Cant wait to see #Shazam with my crew and buddies. its gonna be fun AF. As i #DC head i loved the true captain marvel, and what he represents the essance of a hero."
"42","@IGN Shazam and endgame"
"43","@UberKryptonian Screaming at them thinking Birds of Prey or even G*nn's Suicide Squad is gonna be a ""lighter"" tone like Shazam LMAOOOO"
"44","uwuuu can’t wait to watch it tomorrow<U+2728><U+2728>"
"45","April is such a power packed month for fantasy lovers:

1. Shazam
2. Game of Thrones 
3. Avengers: Endgame
4. Finding Election Commision"
"46","My best friend's super power would be a super genius. The dude's got a huge head, so if he had a brain to match...it would make sense. #ShazamXbox"
"47","Who is ready for Shazam! this week? It’s a blast!! #Shazam"
"48","#Shazam was a goofy, Silver Age-inspired lark and I had a lot of fun with it! And there was a moment that legit had the audience cheering, so that was cool."
"49","@ShazamMovie @RottenTomatoes I wonder how many Americans realize the attempt to erase our memory of the original shazam?? (not kazam with shaq)
 They claim never existed with sin bad as the genie….btw he finally admitted the movie was real it did exist in the 90's …. can we say Mandela Effect.."
"50","@SwagataManna4 Shazam counts only 1 shazam for each song every 24 hours. 
Anything more than that will not be counted.
So to count multiple Shazam for a song you need to clear your data."
"51","@chelseacomics ""Did Shaynise shart in an elevator at the Shazam premiere? You won't believe us!""

this is not a real headline from TMZ but it fucking soundsike one"
"52","@IGN shazam pet sematary and mf end game <U+0001F4A6><U+0001F629><U+0001F629>"
"53","#Shazam opens tomorrow!!! You should watch it guys, movie is soooo good! <U+0001F44D><U+0001F44D><U+0001F44D>

P.S. wait for the TWO END CREDITS!!! <U+0001F60A><U+0001F60A><U+0001F60A>"
"54","@ShazamMovie The Real name is Captain Marvel! And he said Shazam!!!"
"55","@ZacharyLevi  Been a huge fan since Chuck. I always found your acting style fun and refreshing. Can't wait to see Shazam. Hope it sends your career into the stratosphere."
"56","me in the movie theater watching shazam and seeing asher: the night before i left i walked her to the door to say goodbye and i cried i cried so many tears i cried i never ever felt so sad i’ve never been in so much pain never ever felt so bad eyes looked like the pouring rain i"
"57","THIS gets the Gary ""Music"" Miller pre-viewing seal of approval...looks like a great mixture of action AND comedy..."
"58","SHAZAM! and Hellboy"
"59","Just had a cool, spoilers chat with Henry Gayden, screenwriter of #Shazam which will go up about a week after the film is out. Really fun and interesting interview! Will have the rest of my Peter Safran interview up this week! Shazam!"
"60","I'm ready for the Shazam premiere tomorrow. Ahhhhh"
"61","The Funniest Superhero in DC Universe is coming here to give laughter to us!! <U+0001F602><U+0001F44D> Watch #ShazamAtSMCinema #SHAZAM"
"62","@Cazedmunds947 @mellow947 The Power of Zeus because he can control the power of unlimited lighting, electricity generation and manipulation, lighting absorption, and the most important ability, to have a immortality. A really great power indeed! I love SHAZAM!  #CazShazamGiveaway #Mellow947 #AllHits947"
"63","@NathanHoldridg2 @Ps4Game03627985 @ShazamMovie K we  can agree that captain marvel sucked dick but Shazam is just a horrible version of captain marvel"
"64","@IGN Shazam and Endgame"
"65","I want to have his power of speed. Especially in doing household chores <U+0001F61C><U+0001F602> it will be very handy. #CazShazamGiveaway #Mellow947 #AllHits947 @Cazedmunds947 @mellow94"
"66","#UsMovie mind = blown.
#Dumbo interesting.
#Shazam Dr. Sivana and 7 sins vs 5 Shazam!"
"67","Really enjoyed Shazam. My favorite DCEU movie. Feels like an 80s throwback in the best possible way. Some scary imagery though. Gonna be a few years before the kids can watch this one."
"68","@fembrucewayne God, the movie theater I work at chose to play this fucking movie instead of Shazam because we live in a shitty small town and I want to abort myself"
"69","the shazam sequel will be about the black adam i will speak this into existence"
"70","It’s time for your final worldwide box office predictions for #SHAZAM<U+2060> <U+2060><U+26A1><U+FE0F>reviews so far are great! #WB #DC #ZacharyLevi #MARKSTRONG<U+2060><U+2060> #DCU #Comics #April1st <U+2060> <U+2060>#miasmaboxofficeprediction <U+0001F4B0>"
"71","I am excited for the Shazam movie because the world desperately needs a superhero that's good at telling you what song is on the radio before the DJ does."
"72","Wasn’t Shazam that Shaq movie?"
"73","While #Shazam is a bit uneven, it ultimately proves to be super entertaining. The comedy doesn’t always works but it’s pretty damn good when it does. The film is at its best when it focuses on the family elements but fun movie overall. Jack Dylan Grazer’s star continues to rise."
"74","@BenJKest The real question I want to ask you Benjamin J. Kestenbaum @BenJKest is what day are you going to see the movie SHAZAM"
"75","That's it. I hate this fucking movie."
"76","I forgot that #Shazam comes out this week...I think I will wait till next week to see it."
"77","@UnplannedMovie @40daysforlife @ATTWNministry @GuidingStarProj Can I say #shazam and get an explanation for why @UnplannedMovie posted, then mysteriously deleted, a tweet that promoted the Qanon fringe conspiracy theory?"
"78","I saw the movie ""Shazam"" being promoted &amp; I got it confused with that Shaq movie Kazaam. So disappointing. I thought I was finally ready to support movies again."
